[ 1920년-2100년 24기 입기 시각 ]
--------------------------------------------------------------------------------------------------------------------------------------------
역법과 연계된 24기 데이터의 특수성 때문에, 반올림 결과 날짜가 바뀌는 경우 날짜 변동 없이 24시 0분으로 표기됩니다. 
이 자료는 최신의 이론, 모델, 상수를 사용하여 계산된 것입니다. 하지만 지구 자전 속도는 예측할 수 없기 때문에, 미래로 갈수록 수 초에서 수분까지 달라질 수 있습니다. 이로 인해 미래의 실제 24기 날짜는 지금 계산과 다를 수 있습니다.

아래 모든 시각 데이터는 현재(2026년 9월 1일) KST(=UTC+9h) 기준이며, 과거 표준자오선 변경이나 써머타임은 고려하지 않음.
--------------------------------------------------------------------------------------------------------------------------------------------

<24기 구분>
 1: 입춘,  2: 우수,  3: 경칩,  4: 춘분,  5: 청명,  6: 곡우
 7: 입하,  8: 소만,  9: 망종, 10: 하지, 11: 소서, 12: 대서
13: 입추, 14: 처서, 15: 백로, 16: 추분, 17: 한로, 18: 상강
19: 입동, 20: 소설, 21: 대설, 22: 동지, 23: 소한, 24: 대한

구분	년도	월	일	시	분
------------------------------
23, 1920,  1,  6, 23, 41
24, 1920,  1, 21, 17,  4
 1, 1920,  2,  5, 11, 26
 2, 1920,  2, 20,  7, 29
 3, 1920,  3,  6,  5, 51
 4, 1920,  3, 21,  6, 59
 5, 1920,  4,  5, 11, 15
 6, 1920,  4, 20, 18, 39
 7, 1920,  5,  6,  5, 11
 8, 1920,  5, 21, 18, 22
 9, 1920,  6,  6,  9, 50
10, 1920,  6, 22,  2, 40
11, 1920,  7,  7, 20, 19
12, 1920,  7, 23, 13, 35
13, 1920,  8,  8,  5, 58
14, 1920,  8, 23, 20, 21
15, 1920,  9,  8,  8, 27
16, 1920,  9, 23, 17, 28
17, 1920, 10,  8, 23, 29
18, 1920, 10, 24,  2, 13
19, 1920, 11,  8,  2,  5
20, 1920, 11, 22, 23, 15
21, 1920, 12,  7, 18, 30
22, 1920, 12, 22, 12, 17
23, 1921,  1,  6,  5, 34
24, 1921,  1, 20, 22, 55
 1, 1921,  2,  4, 17, 20
 2, 1921,  2, 19, 13, 20
 3, 1921,  3,  6, 11, 45
 4, 1921,  3, 21, 12, 51
 5, 1921,  4,  5, 17,  9
 6, 1921,  4, 21,  0, 32
